Année;Code_INSEE;Résultat;Femmes;Hommes;Agriculteurs;Artisans;Cadres;Intermédiaires;Employés;Ouvriers;Retraités;Etudiants;Inactifs;Personne seule;Homme seul;Femme seule;Colocation;Famille;Famille monoparentale;Couple sans enfant;Couple avec enfants;Population avec enfants;15-24 ans;25-39 ans;40-54 ans;55-64 ans;65-79 ans;80 ans et +;Mariés;Pacsés;Concubinage;Veufs;Divorcés;Célibataires;Population_active
2022;01067;droite;103.756247;94.598545;0.0;14.292067;14.307546;33.973385;22.890611;61.184318;37.019158;0.0;14.687705;30.773456;13.188624;17.584832;0.0;232.226544;0.0;64.052897;168.173647;263.0;28.39329;52.601541;64.926094;43.016039;20.978314;2.934353;100.711215;12.715973;37.671687;3.807028;12.973384;44.970345;212.849631
2022;01068;droite;329.222087;304.833523;9.974085;29.386061;23.850231;117.827101;72.251203;82.739874;220.753493;0.0;77.273561;128.119145;66.621955;61.49719;0.0;573.896822;72.226101;199.40561;302.265111;702.015967;80.026779;118.125644;170.101431;88.115913;100.468839;81.233318;254.688933;33.955561;90.70921;66.495177;35.398249;156.824793;638.071924
2022;01069;droite;619.227817;619.263963;9.80533;73.301541;92.857188;248.73379;209.87945;180.353229;330.63053;0.0;92.930722;203.604299;96.954428;106.649871;0.0;1314.395701;136.797546;467.132843;710.465312;1518.0;126.082224;289.362304;296.015964;237.215857;252.673185;35.233479;582.799282;131.881466;132.710172;56.671519;72.364862;260.155711;1238.491779
2022;01071;centre;2191.361461;2132.053454;9.897563;58.231501;792.38838;989.377968;925.802097;452.700425;481.095733;0.0;613.921249;616.747644;280.795675;335.951969;72.867992;4880.384364;651.749742;1121.159009;3107.475612;5570.0;541.718293;1240.761603;1322.428872;632.527165;479.186497;100.123212;2157.519882;273.766665;576.182956;110.610751;263.004164;935.661227;4323.414915
2022;01072;droite;1428.071396;1294.275995;4.776533;93.903152;285.396793;475.3161;339.511133;319.753083;895.185224;0.0;308.505372;461.275632;184.510253;276.765379;9.553067;2697.176736;513.988775;845.955172;1337.232789;3168.005435;326.188895;517.457303;706.832959;393.765495;529.37653;226.748645;1157.264742;220.047752;273.815473;193.439509;191.434261;664.36809;2722.34739
2022;01073;droite;420.147129;444.595443;9.557483;46.949927;94.345506;94.180752;107.826469;127.21256;323.854985;0.0;60.814889;134.595056;76.911461;57.683595;0.0;892.405352;112.79035;393.465908;386.149094;1027.000408;74.829112;153.699654;181.677676;165.721138;235.923193;60.484882;443.168618;54.917916;114.643859;43.770246;64.613656;151.22136;872.335655
2022;01074;droite;1103.466258;937.443763;40.327198;126.022495;176.431493;337.740286;272.167689;398.190184;538.803681;0.0;151.226994;398.231084;146.186094;252.04499;20.163599;2056.605317;317.576687;504.00818;1235.02045;2475.0;280.0;455.0;521.0;280.0;329.0;170.0;865.0;140.0;247.0;151.0;146.0;486.0;2040.91002
2022;01075;droite;551.019996;585.713047;36.770324;75.668912;111.30722;206.726946;229.978405;199.603666;170.458103;0.0;106.219469;132.148678;82.592923;49.555754;0.0;1301.85183;146.283647;360.86125;794.706932;1434.000508;163.020814;273.817263;314.742198;197.877791;169.026783;26.00233;590.565476;83.774072;137.253285;39.119298;49.91311;243.861938;1144.487179
2022;01076;droite;54.428571;58.964286;0.0;4.535714;22.678571;9.071429;4.535714;13.607143;49.892857;0.0;9.071429;45.357143;22.678571;22.678571;0.0;81.642857;0.0;36.285714;45.357143;127.0;6.891473;13.782946;25.596899;30.51938;35.44186;4.922481;46.271318;7.875969;12.79845;6.891473;23.627907;19.689922;117.155039
2022;01077;droite;80.641026;71.153846;0.0;14.230769;4.74359;9.487179;37.948718;4.74359;61.666667;0.0;18.974359;42.692308;9.487179;33.205128;0.0;142.307692;0.0;56.923077;85.384615;185.0;13.0;30.0;38.0;14.0;46.0;10.0;55.0;12.0;21.0;11.0;16.0;36.0;151.794872
2022;01078;centre;689.425971;617.756847;10.315153;45.848185;183.179156;255.155243;199.16094;122.419407;312.518813;0.0;178.585923;187.754685;78.231119;109.523567;0.0;1362.227805;46.246615;361.030338;954.950852;1549.982491;131.874112;316.363255;377.269562;179.0577;178.527384;107.237752;636.866613;57.222497;168.945346;107.778462;59.160079;260.356769;1307.182818
2022;01079;droite;336.34892;346.799691;10.427352;26.102208;52.087577;83.489077;67.728595;67.861061;333.712106;0.0;41.740634;114.929931;62.689053;52.240878;0.0;584.1146;120.023824;172.301124;291.789652;699.044531;54.151648;87.872051;145.114584;119.343162;140.048702;122.181332;266.411274;23.503766;57.231311;97.952929;50.820518;172.791681;683.148611
2022;01080;droite;294.327699;241.36566;14.89432;29.679005;4.89122;73.700524;108.196917;84.147986;175.757171;0.0;44.426215;97.097066;9.709707;87.38736;0.0;557.902934;63.989994;185.866369;308.046571;655.0;49.451734;101.640668;129.191272;99.895604;106.444426;38.056538;253.898869;28.543028;64.106269;27.22117;29.251084;121.659822;535.693359
2022;01081;droite;266.241827;291.500294;10.392118;17.389636;7.962372;64.149922;78.067341;110.581815;205.027438;0.0;64.17148;150.685708;103.921178;46.76453;0.0;558.314292;106.56896;165.286578;286.458754;709.0;62.294258;125.583213;150.463757;102.829498;104.570641;47.439637;267.367309;23.899482;73.026531;40.975169;47.503986;140.408528;593.181005
